date,campaign_id,campaign_name,channel,impressions,clicks,conversions,spend,revenue
2026-03-01,CAMP_101,Spring Search Boost,Search,5824,96,3,384.37,332.1
2026-03-06,CAMP_101,Spring Search Boost,Search,5679,334,36,241.29,3013.2
2026-03-11,CAMP_101,Spring Search Boost,Search,4520,76,2,680.62,97.2
2026-03-16,CAMP_101,Spring Search Boost,Search,13195,368,29,722.19,1918.35
2026-03-01,CAMP_102,Brand Display Push,Display,11359,605,59,156.82,5074.0
2026-03-06,CAMP_102,Brand Display Push,Display,6615,399,18,313.25,1494.0
2026-03-11,CAMP_102,Brand Display Push,Display,9514,205,10,526.93,570.0
2026-03-16,CAMP_102,Brand Display Push,Display,13891,447,6,632.4,252.0
2026-03-01,CAMP_103,Retargeting Revival,Social,10201,246,4,810.07,728.0
2026-03-06,CAMP_103,Retargeting Revival,Social,9925,625,24,198.12,2205.0
2026-03-11,CAMP_103,Retargeting Revival,Social,8741,828,39,1059.81,4189.0
2026-03-16,CAMP_103,Retargeting Revival,Social,8554,456,20,320.79,2166.0
2026-03-01,CAMP_104,Prospecting Test,Search,7432,435,37,1214.82,1443.0
2026-03-06,CAMP_104,Prospecting Test,Search,13980,786,54,569.87,3456.0
2026-03-11,CAMP_104,Prospecting Test,Search,10216,332,37,1221.6,1813.0
2026-03-16,CAMP_104,Prospecting Test,Search,9313,649,61,546.7,2257.0
2026-03-01,CAMP_105,Email Lead Funnel,Email,9168,376,6,1108.79,383.4
2026-03-06,CAMP_105,Email Lead Funnel,Email,9155,263,17,1078.92,1162.8
2026-03-11,CAMP_105,Email Lead Funnel,Email,11517,279,7,932.24,434.7
2026-03-16,CAMP_105,Email Lead Funnel,Email,8304,527,30,762.71,1566.0
2026-03-01,CAMP_106,Video Awareness Sprint,Video,7593,606,15,668.19,1245.0
2026-03-06,CAMP_106,Video Awareness Sprint,Video,4771,338,9,317.98,702.0
2026-03-11,CAMP_106,Video Awareness Sprint,Video,10916,586,30,775.68,1920.0
2026-03-16,CAMP_106,Video Awareness Sprint,Video,12669,397,28,1139.55,2184.0
